source_row_id,transaction_date,account,account_type,scenario,cash_type,coffee_name,source_amount,financial_line,amount,abs_amount,period,fiscal_year,fiscal_quarter
1,2024-03-01,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
2,2024-03-01,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
3,2024-03-01,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
4,2024-03-01,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
5,2024-03-01,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
6,2024-03-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
7,2024-03-01,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
8,2024-03-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
9,2024-03-01,Unassigned,Unassigned,Actual,Card,Cocoa,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
10,2024-03-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
11,2024-03-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
12,2024-03-02,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
13,2024-03-02,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
14,2024-03-02,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
15,2024-03-02,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
16,2024-03-02,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
17,2024-03-02,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
18,2024-03-03,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
19,2024-03-03,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
20,2024-03-03,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
21,2024-03-03,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
22,2024-03-03,Unassigned,Unassigned,Actual,Card,Cocoa,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
23,2024-03-03,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
24,2024-03-03,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
25,2024-03-03,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
26,2024-03-03,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
27,2024-03-04,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
28,2024-03-04,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
29,2024-03-04,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
30,2024-03-04,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
31,2024-03-05,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
32,2024-03-05,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
33,2024-03-05,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
34,2024-03-05,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
35,2024-03-05,Unassigned,Unassigned,Actual,Card,Cocoa,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
36,2024-03-05,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
37,2024-03-05,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
38,2024-03-05,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
39,2024-03-05,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
40,2024-03-06,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
41,2024-03-06,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
42,2024-03-06,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
43,2024-03-06,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
44,2024-03-07,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
45,2024-03-07,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
46,2024-03-07,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
47,2024-03-07,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
48,2024-03-08,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
49,2024-03-08,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
50,2024-03-08,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
